Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2008,2,South West ,All,Any,33,76,'08
2008,1,South West ,All,Any,32,76,'08
2008,4,West Midlands ,All,Any,24,70,'08
2008,3,West Midlands ,All,Any,25,70,'08
2008,2,West Midlands ,All,Any,27,70,'08
2008,1,West Midlands ,All,Any,25,71,'08
2008,4,Yorkshire,All,Any,27,70,'08
2008,3,Yorkshire,All,Any,27,71,'08
2008,2,Yorkshire,All,Any,27,71,'08
2008,1,Yorkshire,All,Any,24,71,'08
2009,4,East Midlands ,All,Any,32,72,'09
2009,3,East Midlands ,All,Any,29,73,'09
2009,2,East Midlands ,All,Any,27,72,'09
2009,1,East Midlands ,All,Any,32,72,'09
2009,4,Eastern ,All,Any,31,74,'09
2009,3,Eastern ,All,Any,33,75,'09
2009,2,Eastern ,All,Any,32,74,'09
2009,1,Eastern ,All,Any,33,75,'09
2009,4,England,16 to 19,Any,20,37,'09
2009,4,England,20 to 24,Any,30,63,'09
2009,4,England,25 to 29,Any,36,77,'09
2009,4,England,30 to 34,Any,30,79,'09
2009,4,England,35 to 39,Any,24,79,'09
2009,4,England,40 to 44,Any,33,82,'09
2009,4,England,45 to 49,Any,29,82,'09
2009,4,England,50 to 54,Any,29,80,'09
2009,4,England,55 to 59,Any,29,71,'09
2009,4,England,60 to 64,Any,14,45,'09
2009,3,England,16 to 19,Any,23,39,'09
2009,3,England,20 to 24,Any,30,64,'09
2009,3,England,25 to 29,Any,32,77,'09
2009,3,England,30 to 34,Any,33,78,'09
2009,3,England,35 to 39,Any,32,80,'09
2009,3,England,40 to 44,Any,30,81,'09
2009,3,England,45 to 49,Any,28,82,'09
2009,3,England,50 to 54,Any,25,79,'09
2009,3,England,55 to 59,Any,24,70,'09
2009,3,England,60 to 64,Any,15,45,'09
2009,2,England,16 to 19,Any,18,37,'09
2009,2,England,20 to 24,Any,35,62,'09
2009,2,England,25 to 29,Any,30,76,'09
2009,2,England,30 to 34,Any,25,78,'09
2009,2,England,35 to 39,Any,21,80,'09
2009,2,England,40 to 44,Any,30,81,'09
2009,2,England,45 to 49,Any,31,82,'09
2009,2,England,50 to 54,Any,29,79,'09
2009,2,England,55 to 59,Any,24,71,'09
2009,2,England,60 to 64,Any,17,45,'09
2009,1,England,16 to 19,Any,20,40,'09
2009,1,England,20 to 24,Any,37,63,'09
2009,1,England,25 to 29,Any,34,78,'09
2009,1,England,30 to 34,Any,29,79,'09
